A matter of time,cuestión de tiempo
Crowd,Overcrowded - Abarrotado
Cycle,Cyclist - Ciclista
Danger,Dangerous - Peligroso
Decide ,Decision - Decisión
Delight,Delightful - Encantador
Descend,Descent - Empeoramiento
Describe,Description - Descripción
Different,Difference - Diferencia
Direct,Director - Director
Doubt,Doubful - Dudoso
Earn,Earning - Poder adquisitivo
Easy,Easily - Facilmente
Economy ,Economic - Económico
Efficiency,Efficient - Eficiente
Employ,Employee - Empleado
Employ ,Unemployment - Desempleo
Energy,Energetic - Energético
Enjoy,Enjoyable - Agradable
Enthusiasm,Enthusiastic - Entusiasta
Entire,Entirety - Totalidad
Equal,Equally - Igualmente
Equip,Equipment - Equipamiento
Evenly,Unevenly - Desigualmente
Exhaust ,Exhausting - Agotador
Exist,Existence - Existencia
Expand,Expansion - Expansión
Explore,Exploration - Exploración
Extent,Extensive - Amplio
Extreme ,Extremely - Extremadamente
Fashion,Fashionable - Novedoso
Fit,Fitness - Forma física
Fly ,Flight - Vuelo
Food,Feeding - Alimentación
Fortunate,Unfortunately - Desafortunadamente
Fortunate ,Fortunately - Afortunadamente
Freeze ,Freezing - Congelado
Freeze,Frozen - Congelado
Frequent,Frequently - Frecuentemente
Friend,Friendly - Amistoso
Friend ,Friendship - Amistad
Grow,Growth - Crecimiento
Harm,Harmful - Dañino
Health ,Unhealthy - Insaludable
High,Highly - Altamente
History,Historian - Historiador
Home,Homeless - Vagabundo
Hope,Hopeful - Prometedor
Hot,Heat - Calor
Identity,Identified - Identificado
Ill,Illness - Enfermedad
Important ,Importance - Importancia
Impress ,Impressive - Impresionante
Improve,Improvement - Mejora
Increase,Increasingly - Cada vez más
Incredible,Incredibly - Increíblemente
Industry,Industrial - Industrial
Inhabit,Inhabitant - Habitante
Know,Knowledge - Conocimiento
Know ,Unknown - Desconocido
Labour,Labourer - Peón
Like,Unlike - A diferencia de
Likely,Unlikely - Improbable
Limit,Limiting - Limitante
Live,Living - Viviente
Locate,Location - Localización
Lonely,Loneliness - Soledad
Lose,Loss - Pérdida
Mad,Madness - Locura
Marry ,Marriage - Matrimonio
Marvel,Marvelous - Maravilloso
Meet,Meeting - Reunión
Member,Membership - Membresía
Minimum,Minimise - Minimizar
Mistery,Misterious - Misterioso
Motion,Motionless - Quieto
Nerve,Nervous - Nervioso
Noise ,Noisy - Ruidoso
Object,Objective - Objetivo
Occupy ,Occupation - Ocupación
Ordinary,Extraordinary - Extraordinario
Original,Originality - Originalidad
Original ,Originally - Originalmente
Particular,Particularly - Particularmente
Peace,Peaceful - Pacífico
Perform,Performance - Actuación
Person ,Personality - Personalidad
Pleasant,Unpleasant - Desagradable
Please,Pleasure - Placer
Poison,Poisonous - Venenoso
Popular,Popularity - Popular
Possible ,Impossible - Imposible
Possible,Possibility - Posibilidad
Power,Powerful - Poderoso
Practise,Practical - Práctico
Press,Pressure - Presión
Proof,Disprove - Desmentir
Punctual ,Punctuality - Puntualidad
Punctual,Punctually - Puntualmente
Rain ,Rainfall - Cascada
Reason ,Reasonable - Razonable
Recognise,Recognition - Reconocimiento
Recommend,Recommendation - Recomendación
Refer,Reference - Referencia
Regular,Regularly - Regularmente
Relative,Relatively - Relativamente
Relief,Relieve - Aliviar
Rely ,Reliable - Fiable
Remark,Remarkable - Impresionante
Remind,Reminder - Recordatorio
Repeat,Repeatedly - Repetidamente
Respond,Response - Respuesta
Rough,Roughly - Aproximadamente
Safe,Safety - Seguridad
Science ,Scientific - Científico (método)
Science,Scientist - Científico (persona)
Sense,Sensitive - Sensible
Sleep,Asleep - Dormido
Solve,Solution - Solución
Storm,Stormy - Tempestuoso
Succeed,Success - Éxito
Suffer,Suffering - Dolorido
Suitable,Unsuitable - Inadecuado
Surprise,Surprising - Sorprendentemente
Surround,Surrounding - Envolvente
Temporary ,Temporarily - Temporalmente
Tour ,Tourist - Turista
Tour,Tourism - Turismo
Tradition,Traditional - Tradicional
Tropic,Tropical - Tropical
True,Truly - Verdaderamente
Usual,Unusual - Inusual
Vary,Variety - Variedad
Visit ,Visitor - Visitante
Warm,Warmth - Calor
Wealth ,Wealthy - Riqueza
Weigh,Weight - Peso
Wind,Windy - Ventoso
Advise against,advertir en contra de
All comes down to,todo se reduce a
Bried dip in,breve bajón en
Come as a disappointment,venir como una decepción
Come into view,saltar a la vista
Come round to the idea,hacerse a la idea
Come to terms,llegar a un acuerdo
Don´t hesitate to give us a call,no dudes en llamarnos
Feel the effects of,sentir los efectos de
Gain entry / access,"entrar, acceder"
Get something across someone,hacer entender
Give a faultless performance,dar un rendimiento impecable
Hand in my notice,entregar a mano
Have any objection to someone,tener alguna objeción sobre alguien
Have any recollection of,no tener ningún recuerdo de
Have every intention of,tener toda la intención de
Have no choice but to,no tener elección excepto
Highly likely,altamente probable
However hard you try,por mucho que trates
However well you think,por muy bien que creas
Huge increase,fuerte aumento
I can´t believe my eyes,no puedo creer lo que ven mis ojos
If  you happen to,si por casualidad
In the public eye,en la opinión pública
In the unlikely event,en el caso improbable
It is ages since,hace años que
It is high time,ya es hora de
It is in someone´s interest,está en el interés de alguien
It remains to be seen ,queda por ver
It was weeks before,fue semanas antes
Just as much fun + ing as it is + ing,tan divertida en una cosa como la otra
Keep a low profile,"intentar no ser detectado, pasar desaspercibido"
Keep his word,mantener la palabra
Keep me posted,mantenme informado
Live it down,superar la vergüenza
Live up to someone´s expectations,"colmar las expectativas, estar a la altura"
Lose / keep track of,perder / no perder la pista
Make a name for oneself,hacerse un nombre
Make a point of,apuntar
Make a recovery,recuperarse
Make all the difference,marcar toda la diferencia
Make no difference,no marcar la diferencia
Make someone´s getaway,escaparse
Make your mark,dejar huella
Meet with the disapproval,encontrarse con la desaprobación
Much to my delight,para mi deleite
Much to my horror,para mi horror
Objected to what i was,objetar sobre lo que estaba
On no account,bajo ninguna circunstancia
On some occasions,en algunas ocasiones
On the grounds of / that,bajo el argumento de
On the recommendation of,bajo la recomendación de
Out of the question,fuera de discusión
Overall responsibility for,toda la responsabilidad
Place the blame on,echar la culpa a
Quick action on the part of,rápida acción por parte de
Rack my brains,devanarse los sesos
Reach a peak,alcanzar un pico
Remain stable,permanecer estable
Sharp increase in,fuerte aumento de
Show complete / total disregard for,mostrar total indiferencia / desconsideración
Steep fall in,fuerte caída en
Take aback by,tomar por sorpresa
Take as a whole,tomado como un todo
Take into consideration / account,tener en cuenta
Take it for granted,darlo por hecho
Take notice of,tomar nota de
Take responsibility,tomar responsabilidad
Take someone into,convencer a alguien de
Take the blame,asumir la culpa
Take the wrong turn / turning,"ir por la vía errónea, mal camino"
Take your point,entiendo tu punto de vista
There is little question,no hay duda
There is no knowing,imposible de estar seguro sobre algo
There is no room for,no hay sitio para
There is no such thing as,no hay tal cosa como
There needs to be,es necesario que haya
To be at a loss to,estar sin poder explicarse
To be capable of,ser capaz de
To be highly spoken,tener buena reputación
To be in no doubt,no tener ninguna duda
To be in someone´s shoes,estar en la situación de alguien
To be made responsible,ser hecho responsable
To be on the lookout for,estar alerta
To be taken for granted,no ser valorado
To be thought of as,ser considerado como
To be weak at,ser malo en
Under no circumstances,bajo ninguna circunstancia
Was of no consequence,carecía de importancia
With the exception of,con la excepción de
Accept,Acceptable - Aceptable
Accept ,Unacceptable - Inaceptable
Access,Accesible - Accesible
Accident,Accidental - Fortuito
Accord,According - De acuerdo
Action ,Transaction - Transacción
Adapt,Adaptable - Flexible
Addict,Addiction - Adicción
Administrate ,Administrative - Administrativo
Admire,Admiration - Admiración
Advance,Advancements - Avances
Affection,Affectionately - Afectivamente
Afford,Affordable - Asequible
Agent,Agency - Agencia
Alter,Alternative - Alternativo
Alternate,Alternatively - Alternativamente
Announce,Unannounced - Inesperado
Annoy,Annoyance - Molestia
Anticipate,Anticipation - Anticipación
Appeal,Appealing - Atractivo
Appeal ,Unappealing - Poco atractivo
Appear,Apparently - Aparentemente
Apply,Applicable - Aplicable
Appropiate,Inappropriately - Inapropiadamente
Approve,Approval - Aprobación
Aspire,Aspiration - Aspiración
Assume,Assumption - Suposición
Astonish ,Astonishing - Increíble
Astonish,Astonishingly - Extraordinariamente
Atomosphere,"Atmospheric - Evocador, atmosférico"
Attach,Attachment - Anexo
Audio,Audible - Audible
Aware,Awareness - Conciencia
Awe,Awesome - Sublime
Balance,Unbalanced - Desequilibrado
Bear,Bearing - Modales
Begin ,Beginner - Principiante
Believe,Unbelievably - Increíblemente
Believe ,Unbelievable - Increíble
Benefit,Beneficial - Beneficioso
Break,Breakthrough - Descubrimiento
Broad,Breadth - Anchura
Capture,Captivity - Cautividad
Category,Categorization - Categorización
Caution ,Cautiously - Precavidamente
Caution,Precaution - Precaución
Celebrate,Celebrity - Celebridad
Censor,Censorship - Censura
Centre,Central - Central
Choose,Chosen - Elegido
Cinema,Cinematic - Cinematográfico
Civilise,Civilisation - Civilización
Clear,Clarify - Clarificar
Click,Clicking - Chasquido
Close,Disclose - Divulgar
Collect,Collection - Colección
Come,Overcome - Derrotar
Comfort,Discomfort - Malestar
Commerce,Commercial - Comercial
Communicate,Communicator - Comunicador
Company,Accompanied - Acompañado
Compare,Comparision - Comparación
Complacent,Complacency - Complacencia
Complete,Completion - Terminación
Complicate,Complication - Complicación
Conceive,Conceivable - Concebible
Concept,Misconception - Confusión
Conclude,Inconclusive - Inconcluyente
Congratulate,Congratulations - Felicidades
Conquer,Conquest - Conquista
Construct,Constructive - Constructivo
Contain,Content - Contenido
Contribute,Contribution - Contribución
Controversy ,Controversial - Controvertido
Convenient,Inconvenient - Inconveniente
Counter,Counterparts - Homólogo
Create,Creator - Creador
Credit,Discredit - Desacreditar
Critic,Critical - Crítico
Criticise,Criticism - Crítica
Cry,Outcry - Protesta
Custom,Customary - Habitual
Danger,Endanger - Arriesgar
Date,Outdated - Desactualizado
Day,Daily - Diario
Dead,Deadline - Fecha límite
Debate,Debatable - Debatible
Decide,Indecision - Indecisión
Dedicate,Dedicated - Dedicado
Deduce,Deduction - Deducción
Demand,Demanding - Demandante
Deserve,Deserving - Meritorio
Desire,Desirable - Deseable
Despair,Desperately - Desesperadamente
Desperate,Desperation - Desesperación
Develop,Developer - Desarrollador
Dine,Diner - Comensal
Discover,Discovery - Descubrimiento
Dismiss,Dismissal - Despido
Dispute,Indisputable - Indiscutible
Distinct,Distinctive - Característico
Doubt,Doubtless - Sin dudas
Drama,Dramatically - Dramáticamente
Draw,Withdraw - Retirar
Earth,"Earthly - Terrenal, mundano"
Education,Educational - Educacional
Effect,Innefective - Inefectivo
Effect ,Effectively - Eficazmente
Eloquence,Eloquently - Elocuentemente
Emit,Emission - Emisión
Emotion,Emotional - Emocional
Endure,Endurance - Resistencia
Enthuse,Enthusiasm - Entusiasmo
Erupt,Eruption - Erupción
Escape,Inescapable - Inevitable
Essence,Essential - Esencial
Establish,Establishment - Establecimiento
Ethic,Unethical - Inmoral
Even,Uneven - Desnivelado / Desigual
Except,Exceptional - Excepcional
Expect,Unexpectedly - Inesperadamente
Expert,"Expertise - Experiencia, pericia"
Explode,Explosive - Explosivo
Extend,Extensive - Extensivo
Fabricate,Fabrication - Invento
Fail,Failure - Fracaso
Fair ,Fairness - Justicia
Fascinate,Fascination - Fascinación
Fascinate ,Fascinating - Fascinante
Fatal,Fatality - Fatalidad
Favour ,Favourable - Favorable
Feed,Feedback - Retroalimentación
Fiction,Fictional - Ficticio
Final,Finalist - Finalista
Forget,Unforgettable - Inolvidable
Fortune ,Misfortune - Infortunio
Found,Founder - Fundador
Fresh,Refresh - Refrescar
Generous,Generosity - Generosidad
Go,Undergo - Experimentar
Grand,Grandeur - Grandeza
Guide,Guidance - Guía
Happy,Happiness - Felicidad
Hard,Hardship - Adversidad
Hazard ,Hazardous - Peligroso
History,Historic - Histórico
Honest,Honesty - Honestidad
Identify,Identification - Identificación
Impress,Impression - Impresión
Fair,Fairness - Justicia
Favour,Favourable - Favorable
Fortune,Misfortune - Infortunio
Hazard,Hazardous - Peligroso
Include,"Including - Inclusive, incluso"
Indicate,Indication - Indicación
Indignation ,Indignantly - Indignantemente
Inevitable,Inevitably - Inevitablemente
Influence,Influential - Influyente
Ingenious,Ingenuity - Ingenuidad
Initial,Initially - Inicialmente
Innovate,Innovative - Innovador
Inspire,Inspiration - Inspiración
Intense,Intensely - Intensamente
Interact,Interactive - Interactivo
Interest,Uninteresting - Aburrido
Interrupt,Uninterrupted - Ininterrumpido
Intrigue,Intriguing - Intrigante
Invent,Inventor - Inventor
Journal,Journalist - Periodista
Judge,Misjudgement - Juicio erróneo
King,Kingdom - Reino
Lead,Misleading - Engañoso
Leak,Leakage - Fuga
Legal,Illegal - Ilegal
Let,Outlet - Tienda de descuento
Life,Lifelong - Para toda la vida
Light,Enlighten - Iluminar
Live,Livelihood - Sustento
Long,Length - Longitud
Magic,Magically - Mágicamente
Majesty,Majestic - Majestuoso
Mass,Massive - Gigante
Match,Mismatches - Discordancias
Measure,Measurement - Medida
Medicine,Medical - Médico
Mind,Mindless - Despistado
Minor,Minority - Minoría
Modify ,Unmodified - No modificado
Mortal,Inmortal - Inmortal
Motivate,Demotivated - Desmotivado
Mountain,Mountaineer - Montañero
Move ,Remove - Remover
Music,Musicality - Musicalidad
Mystery,Mysterious - Misterioso
Name,Nickname - Apodo
Narrow,Narrowly - Estrictamente
Need,Necessary - Necesario
Negative,Negativity - Negatividad
Net,Network - Red
Night,Overnight - Por la noche
Nominate,Nomination - Nominación
Nostalgia ,Nostalgic - Nostálgico
Notorious,Notoriety - Notoriedad
Number,Numerous - Numerosidad
Occur,Occurrence - Ocurrencia
Offend,Offence - Ofensa
Offend ,Offending - Ofensivo
Open,Opening - Apertura
Operate,Operation - Operación
Opinion ,Opinionated - Tendencioso
Origin,Originated - Originado
Out,Outdated - Caducado
Partner,Partnership - Membresía
Perceive ,Perception - Percepción
Perfect,Perfectionist - Perfeccionista
Person,Personal - Personal
Place,Replace - Recolocar
Polite,Impolite - Descortés
Power,Powerless - Incapaz
Predict,Predictable - Predecible
Prefer,Preferred - Preferido
Prestige,Prestigious - Prestigioso
Procrastinate,Procrastination - Aplazamiento
Produce,Productivity - Productividad
Progress,Progressively - Progresivamente
Proportion,Disproportionate - Desproporcionado
Prospect,"Prospective - Futuro, potencial"
Psychology,Psychologically - Psicológicamente
Pursue,Pursuit - Búsqueda
Rank,Ranking - Ranking
React,Reaction - Reacción
Reassure ,Reassuring - Tranquilizador
Receive,Receipt - Ticket
Recognize,Recognizably - Claramente
Recruit,Recruitment - Reclutamiento
Regulate,Regulation - Regulación
Relax,Relaxed - Relajado
Remain,Remains - Restos mortales
Repeat,Repetitive - Repetitivo
Repute,Reputedly - Según dicen
Require,Requirement - Requerimiento
Research,Researcher - Investigador
Resign ,Resignation - Resignación
Resist,Irresistible - Irresistible
Respect,Disrespect - Falta de respeto
Respond,Unresponsive - Indiferente
Rest,Restless - Inquieto
Revolution,Revolutionary - Revolucionario
Rigour,Rigorous - Riguroso
Root,Uproot - Arrancar
See,Sight - Vista
Settle ,Settlement - Acuerdo
Severe,Severity - Severidad
Shelter,Sheltered - Resguardado
Short,Shortage - Escasez
Signify ,Insignificant - Insignificante
Signify,Significant - Significante
Similar,Similarly - Similarmente
Skill,Unskilled - Inexperto
Social,Sociable - Sociable
Soothe,Soothing - Reconfortante
Sophisticated ,Sophistication - Sofisticación
Spoil,Unspoilt - Puro
Spread,Widespread - Esparcido
Stable,Stability - Estabilidad
Stand,Outstanding - Espectacular
Standard,Standardised - Estandarizado
Stimulate,Stimulation - Estimulación
Stress,Stress-free - Desestresado
Strong ,Strength - Fuerza
Strong,Strengthening - Fortalecimiento
Stubborn,Stubbornness - Testarudez
Success,Successful - Exitoso
Suppose,Supposedly - Supuestamente
Sure,Ensure - Asegurarse
Surprise,Surprisingly - Sorprendentemente
Surprise ,Unsurprisingly - Como era de esperar
Suspect,Suspicious - Sospechoso
Sustain ,Sustainability - Sostenibilidad
Symptom,Symptomatic - Sintomático
Tend,Tendency - Tendencia
Threat,Threatening - Amenazador
Tower,Towering - Altísimo
Tradition ,Traditionally - Tradicionalmente
Transfer,Transferable - Transferible
True,Truthful - Honrado
Trust,Untrustworthy - Que no es de fiar
Type,Typically - Típicamente
Vary,Invariably - Invariablemente
Venom,Venomous - Venenoso
Versatile ,Versatility - Versatilidad
Vital,Revitalised - Revitalizado
Wake,Wakeful - Despierto
Want,Wanted - Deseado
West,Western - Occidental
While,Meanwhile - Mientras tanto
Will,Unwilling - Indispuesto
Will ,Willing - Dispuesto
Win,Winner - Ganador
Work,Workable - Manejable
Work ,Work-out - Entrenamiento
World,Worldwide - Mundial
As far as i know ,por lo que yo se
As long as,siempre y cuando
As well as,además de
Better / Worse than i expected,mejor / peor de lo que me esperaba
Break down in tears ,Romper en lágrimas
By the time,para cuando
Carry on,continuar
Dreams come true,los sueños se hacen realidad
Feel like + ing,apetecer
Give consideration,pensar sobre algo
Have little / no difficulty in,no tener dificultad en
Have / keep / get something under control,tener algo bajo control
I´d rather,preferiría
I regret not + ing,lamento no
In order to,con el fin de
In terms of,en términos de
It is worth + ing,merece la pena
Just in case,por si acaso
Keep in touch ,estar en contacto
Likely to result in,probable que resulte en
Make an impression on,causar una impresión en
Make sense,tener sentido
Make up your mind,"aclararse, decidirse"
On the point of,"en el momento de, a punto de"
On your own,por tu cuenta
Pay attention to,prestar atención a
See no point in,no verle la razón a
Take by surprise,tomar por sorpresa
Take ages,tardar años
Take care,cuidar
There is no comparison,no hay comparación
To be allowed ,estar permitido
To be keen on,estar aficionado a
To be on good terms with,llevarse bien con
To be praised,ser alabado
To be willing,estar dispuesto
Break down,"romper, estropear"
Call off,cancelar
Carry out,llevar a cabo
Come up with,"elaborar, inventarse"
Figure out,resolver
Find out,averiguar
Give up,rendirse
Look forward to + ing,estar deseando
Look into,investigar
Loop up to,admirar
Make up,inventar
Put off,"cancelar, aplazar"
Put up with,"tolerar, aguantar"
Run out of,quedarse sin
Set up,fundar
Split up,romper
Turn out for / up for / up to / up at,acudir
Agree with,estar de acuerdo con
Along with,conjuntamente con
Apart from,aparte de
Apologise for,disculparse por
Apply for,aplicar por
Aprove of,aprobar que
Associate with,asociar con
Believe in,Creer en
Belong to,pertenecer a
Complain about,quejarse de / sobre
Congratulate on,"felicitar, congratular"
Collision with,"chocar, colisionar con"
Count on,contar con
Deal with,lidiar con
Decision / decide on,decidir sobre
Due to,debido a
Excuse for,perdonar por
In comparision with / to,en comparación con
Insist on,insistir en
Invest in,invertir en
Laugh at,reirse de
Lead to ,guiar a
Listen to,escuchar a
Object to,objetar a
Opt for,optar por
Participate in,participar en
Pay for,pagar por
Prepare for,prepararse para
Prevent / protect from,"prevenir, proteger de"
Provide with,proveer con
Punish for,castigar por
Remind of,reocrdar
Rely on,depender de
Spend on,gastar en
Succeed in,tener éxito en
thank for,dar las gracias por
Wait for,esperar
Warn about,advertir sobre
Worry about,preocuparse por
Break off,desprenderse
Bump into,"chocar, encontrarse con"
Call for,requerir
Call on,"apelar, recurrir"
Come about,suceder
Come across,encontrarse con
Come along,progresar
Come forward ,dar un paso al frente
Cut down,reducir
Date back,"datar, remontarse"
Develop into,convertirse en
Draw up,"redactar, planear"
End up,terminar
Fed up with,estar harto de
Feel up to + ing,"sentirse con fuerza, ánimos"
Go ahead,"seguir adelante, llevar a cabo"
Go off,estropearse
Go out,salir de fiesta
Go over,analizar
Go through,sufrir
Hold up,retrasar
Let down,decepcionar
Look after ,cuidar
Name after,llamarse por
Peel off,pelar
Point out,puntualizar
Pop up,aparecer de repente
Pull down,"achacar, derribar"
Pull through,recuperarse
Put forward,"proponer, ofrecerse"
Run into,encontrarse con
Stand out,sobresalir
Settle down,"establecerse, asentarse"
Sort out,ordenar
Take over,tomar el relevo
Take up,empezar a hacer algo (hobby)
Turn down,rechazar
Work out,resolver
Wear out,"agotar, estar exhausto"
